title,url,date,text,full_content,processed_text,lemmatized_text
Путина рассмешил вопрос про Крым20:04,https://lenta.ru/news/2025/12/04/putina-rassmeshil-vopros-pro-krym/,,,Путина рассмешил вопрос про Крым20:04.,путина рассмешил вопрос крым,путина рассмешил вопрос крым
Умер проводивший деноминацию рубля экс-глава Центробанка20:05,https://lenta.ru/news/2025/12/04/umer-provodivshiy-denominatsiyu-rublya-eks-glava-tsentrobanka/,,,Умер проводивший деноминацию рубля экс-глава Центробанка20:05.,умер проводивший деноминацию рубля эксглава центробанка,умер проводивш деноминац рубл эксглава центробанка
Жена разоблачила обманувшего ее мужа благодаря стихийному бедствию20:03,https://lenta.ru/news/2025/12/04/zhena-razoblachila-obmanuvshego-ee-muzha-blagodarya-stihiynomu-bedstviyu/,,,Жена разоблачила обманувшего ее мужа благодаря стихийному бедствию20:03.,жена разоблачила обманувшего мужа благодаря стихийному бедствию,жена разоблачила обманувшег мужа благодар стихийном бедств
Путин высказался о восстановлении СССР20:02,https://lenta.ru/news/2025/12/04/putin-vyskazalsya-o-vosstanovlenii-sssr/,,,Путин высказался о восстановлении СССР20:02.,путин высказался восстановлении ссср,путин высказалс восстановлен ссср
Максим Галкин распахнул надетый на голое тело пиджак перед камерой20:02,https://lenta.ru/news/2025/12/04/maksim-galkin-raspahnul-nadetyy-na-goloe-telo-pidzhak-pered-kameroy/,,,Максим Галкин распахнул надетый на голое тело пиджак перед камерой20:02.,максим галкин распахнул надетый голое тело пиджак камерой,максим галкин распахнул надет гол тел пиджак камер
Школьница стала приманкой в вымогательстве миллиона у россиянина20:01,https://lenta.ru/news/2025/12/04/shkolnitsa-stala-primankoy-v-vymogatelstve-milliona-u-rossiyanina/,,,Школьница стала приманкой в вымогательстве миллиона у россиянина20:01.,школьница стала приманкой вымогательстве миллиона россиянина,школьница стала приманк вымогательств миллиона россиянина
Путин назвал друзей России20:01,https://lenta.ru/news/2025/12/04/putin-nazval-druzey-rossii/,,,Путин назвал друзей России20:01.,путин назвал друзей россии,путин назвал друз росс
Третий спутник АмГУ запустят в 2025 году19:57,https://lenta.ru/news/2025/12/04/tretiy-sputnik-amgu-zapustyat-v-2025-godu/,,,Третий спутник АмГУ запустят в 2025 году19:57.,третий спутник амгу запустят году,трет спутник амг запустят год
В России захотели установить памятник бойцам из Северной Кореи19:55,https://lenta.ru/news/2025/12/04/v-rossii-zahoteli-ustanovit-pamyatnik-boytsam-iz-severnoy-korei/,,,В России захотели установить памятник бойцам из Северной Кореи19:55.,россии захотели установить памятник бойцам северной кореи,росс захотел установить памятник бойцам северн кор
55-летний турист вломился в студенческую квартиру ночью в поисках девушки для секса19:52,https://lenta.ru/news/2025/12/04/55-letniy-turist-vlomilsya-v-studencheskuyu-kvartiru-nochyu-v-poiskah-devushki-dlya-seksa/,,,55-летний турист вломился в студенческую квартиру ночью в поисках девушки для секса19:52.,летний турист вломился студенческую квартиру ночью поисках девушки секса,летн турист вломилс студенческ квартир ночь поисках девушк секса
Главком ВСУ Сырский отказался признавать потерю Красноармейска19:52,https://lenta.ru/news/2025/12/04/glavkom-vsu-syrskiy-otkazalsya-priznavat-poteryu-krasnoarmeyska/,,,Главком ВСУ Сырский отказался признавать потерю Красноармейска19:52.,главком всу сырский отказался признавать потерю красноармейска,главком вс сырск отказалс признавать потер красноармейска
Сбившему российский Ил-76 с пленными украинцами полковнику ВСУ вынесли приговор19:41,https://lenta.ru/news/2025/12/04/sbivshemu-rossiyskiy-il-76-s-plennymi-ukraintsami-polkovniku-vsu-vynesli-prigovor/,,,Сбившему российский Ил-76 с пленными украинцами полковнику ВСУ вынесли приговор19:41.,сбившему российский пленными украинцами полковнику всу вынесли приговор,сбившем российск пленным украинцам полковник вс вынесл приговор
Путин назвал требование России к НАТО19:29,https://lenta.ru/news/2025/12/04/putin-nazval-trebovanie-rossii-k-nato/,,,Путин назвал требование России к НАТО19:29.,путин назвал требование россии нато,путин назвал требован росс нат
Путин рассказал об изменившейся позиции Зеленского19:22,https://lenta.ru/news/2025/12/04/putin-rasskazal-ob-izmenivsheysya-pozitsii-zelenskogo/,,,Путин рассказал об изменившейся позиции Зеленского19:22.,путин рассказал изменившейся позиции зеленского,путин рассказал изменившейс позиц зеленског
Внебрачная дочь Глызина расплакалась из-за результатов ДНК-теста19:21,https://lenta.ru/news/2025/12/04/vnebrachnaya-doch-glyzina-rasplakalas-iz-za-rezultatov-dnk-testa/,,,Внебрачная дочь Глызина расплакалась из-за результатов ДНК-теста19:21.,внебрачная дочь глызина расплакалась изза результатов днктеста,внебрачна дочь глызина расплакалась изза результатов днктеста
Все новости,https://lenta.ru/parts/news/,,,Все новости.,новости,новост
Названы запрещенные за новогодним столом темы19:32,https://lenta.ru/news/2025/12/04/nazvany-zapreschennye-za-novogodnim-stolom-temy/,,,Названы запрещенные за новогодним столом темы19:32.,названы запрещенные новогодним столом темы,назван запрещенн новогодним столом тем
Пассажирка подала в суд на авиакомпанию после унижений со стороны стюардессы19:32,https://lenta.ru/news/2025/12/04/passazhirka-podala-v-sud-na-aviakompaniyu-posle-unizheniy-so-storony-styuardessy/,,,Пассажирка подала в суд на авиакомпанию после унижений со стороны стюардессы19:32.,пассажирка подала суд авиакомпанию унижений стороны стюардессы,пассажирка подала суд авиакомпан унижен сторон стюардесс
Путин объяснил желание Трампа помирить Россию и Украину19:29,https://lenta.ru/news/2025/12/04/putin-ob-yasnil-zhelanie-trampa-pomirit-rossiyu-i-ukrainu/,,,Путин объяснил желание Трампа помирить Россию и Украину19:29.,путин объяснил желание трампа помирить россию украину,путин объяснил желан трампа помирить росс украин
Путин назвал цель специальной военной операции на Украине19:25,https://lenta.ru/news/2025/12/04/putin-nazval-tsel-spetsialnoy-voennoy-operatsii-na-ukraine/,,,Путин назвал цель специальной военной операции на Украине19:25.,путин назвал цель специальной военной операции украине,путин назвал цель специальн военн операц украин
Вор проглотил огромное золотое яйцо с осьминогом внутри и не смог уйти19:21,https://lenta.ru/news/2025/12/04/vor-proglotil-ogromnoe-zolotoe-yaytso-s-osminogom-vnutri-i-ne-smog-uyti/,,,Вор проглотил огромное золотое яйцо с осьминогом внутри и не смог уйти19:21.,вор проглотил огромное золотое яйцо осьминогом внутри смог уйти,вор проглотил огромн золот яйц осьминогом внутр смог уйт
Путин объяснил включение Крыма в состав России19:20,https://lenta.ru/news/2025/12/04/putin-ob-yasnil-vklyuchenie-kryma-v-sostav-rossii/,,,Путин объяснил включение Крыма в состав России19:20.,путин объяснил включение крыма состав россии,путин объяснил включен крыма состав росс
«Будет сюрприз». Захарова рассказала о жестком ответе на изъятие российских активов в Европе,https://lenta.ru/news/2025/12/04/budet-syurpriz-zaharova-rasskazala-o-zhestkom-otvete-rossii-na-iz-yatie-aktivov-v-evrope/,,,«Будет сюрприз». Захарова рассказала о жестком ответе на изъятие российских активов в Европе.,сюрприз захарова рассказала жестком ответе изъятие российских активов европе,сюрприз захарова рассказала жестком ответ изъят российских активов европ
«Никто не верит в поражение России». Евросоюз раскололся по вопросу изъятия российских активов. К чему это может привести?,https://lenta.ru/news/2025/12/04/rossiyskie-aktivy/,,,«Никто не верит в поражение России». Евросоюз раскололся по вопросу изъятия российских активов. К чему это может привести?.,никто верит поражение россии евросоюз раскололся вопросу изъятия российских активов чему это привести,никт верит поражен росс евросоюз раскололс вопрос изъят российских активов чем эт привест
Путин прибыл в Индию,https://lenta.ru/news/2025/12/04/putin-pribyl-v-indiyu/,,,Путин прибыл в Индию.,путин прибыл индию,путин прибыл инд
Макрон и Мерц предупредили Зеленского о предательстве США,https://lenta.ru/news/2025/12/04/makron-i-merts-predupredili-zelenskogo-o-predatelstve-ssha/,,,Макрон и Мерц предупредили Зеленского о предательстве США.,макрон мерц предупредили зеленского предательстве сша,макрон мерц предупредил зеленског предательств сша
В МИД России рассказали о новом теракте Украины в Черном море,https://lenta.ru/news/2025/12/04/v-mid-rossii-rasskazali-o-novom-terakte-ukrainy-na-chernom-more/,,,В МИД России рассказали о новом теракте Украины в Черном море.,мид россии рассказали новом теракте украины черном море,мид росс рассказал новом теракт украин черном мор
Роскомнадзор начал ограничивать работу FaceTime,https://lenta.ru/news/2025/12/04/facetime/,,,Роскомнадзор начал ограничивать работу FaceTime.,роскомнадзор начал ограничивать работу facetime,роскомнадзор начал ограничивать работ facetime
«Довоевались». Путин рассказал о планах Москвы на Донбасс и Новороссию после переговоров с делегацией США,https://lenta.ru/news/2025/12/04/putin-o-peregovorah/,,,«Довоевались». Путин рассказал о планах Москвы на Донбасс и Новороссию после переговоров с делегацией США.,довоевались путин рассказал планах москвы донбасс новороссию переговоров делегацией сша,довоевались путин рассказал планах москв донбасс новоросс переговоров делегац сша
Названа дата совмещенной с прямой линией большой пресс-конференции Путина,https://lenta.ru/news/2025/12/04/line/,,,Названа дата совмещенной с прямой линией большой пресс-конференции Путина.,названа дата совмещенной прямой линией большой прессконференции путина,названа дата совмещенн прям лин больш прессконференц путина
"«Зеленскому тогда и нужно было договариваться». Трамп заявил, что условия мира для Украины ухудшились со временем",https://lenta.ru/news/2025/12/04/zelenskomu-togda-i-nuzhno-bylo-dogovarivatsya-tramp-zayavil-chto-usloviya-uregulirovaniya-dlya-ukrainy-uhudshilis-so-vremenem/,,,"«Зеленскому тогда и нужно было договариваться». Трамп заявил, что условия мира для Украины ухудшились со временем.",зеленскому нужно договариваться трамп заявил условия мира украины ухудшились временем,зеленском нужн договариватьс трамп заявил услов мира украин ухудшились временем
"«Русские объединялись против Наполеона, Гитлера и Долиной». Как певицу хейтят за дело с квартирой и припоминают ей старые скандалы",https://lenta.ru/news/2025/12/01/dolina/,,,"«Русские объединялись против Наполеона, Гитлера и Долиной». Как певицу хейтят за дело с квартирой и припоминают ей старые скандалы.",русские объединялись против наполеона гитлера долиной певицу хейтят дело квартирой припоминают старые скандалы,русск объединялись против наполеона гитлера долин певиц хейтят дел квартир припоминают стар скандал
В Индии прогремела «свадьба года» за миллионы долларов. На ней пела едва одетая Дженнифер Лопес. Как это было?,https://lenta.ru/news/2025/11/26/svadba/,,,В Индии прогремела «свадьба года» за миллионы долларов. На ней пела едва одетая Дженнифер Лопес. Как это было?.,индии прогремела свадьба года миллионы долларов пела едва одетая дженнифер лопес это,инд прогремела свадьба года миллион долларов пела едва одета дженнифер лопес эт
"На «Мисс Вселенная» небывалый скандал с подтасовками. Часть жюри покинула конкурс, участницы в панике. Чем это закончится?",https://lenta.ru/news/2025/11/20/missuniversescandal/,,,"На «Мисс Вселенная» небывалый скандал с подтасовками. Часть жюри покинула конкурс, участницы в панике. Чем это закончится?.",мисс вселенная небывалый скандал подтасовками часть жюри покинула конкурс участницы панике это закончится,мисс вселенна небывал скандал подтасовкам часть жюр покинула конкурс участниц паник эт закончитс
16-летние россиянки втайне от родителей едут на вечеринки с шейхами в Дубай. Они продают свою девственность за сотни тысяч рублей,https://lenta.ru/news/2025/11/20/16-letnie-rossiyanki-edut-v-dubay-na-vecherinki-s-sheyhami-radi-millionov-i-roskoshnyh-podarkov/,,,16-летние россиянки втайне от родителей едут на вечеринки с шейхами в Дубай. Они продают свою девственность за сотни тысяч рублей.,летние россиянки втайне родителей едут вечеринки шейхами дубай продают девственность сотни тысяч рублей,летн россиянк втайн родител едут вечеринк шейхам дуба продают девственность сотн тысяч рубл
"«Ад, кишащий педофилами». Что на самом деле происходит в онлайн-игре Roblox, которая популярна у российских детей?",https://lenta.ru/news/2025/11/15/roblox/,,,"«Ад, кишащий педофилами». Что на самом деле происходит в онлайн-игре Roblox, которая популярна у российских детей?.",кишащий педофилами самом деле происходит онлайнигре roblox которая популярна российских детей,кишащ педофилам самом дел происходит онлайнигр roblox котора популярна российских дет
«Он сам себя отправил бы в газовую камеру». Анализ ДНК выявил у Гитлера редкую генетическую мутацию,https://lenta.ru/news/2025/11/13/on-sam-sebya-otpravil-by-v-gazovuyu-kameru-analiz-dnk-vyyavil-u-gitlera-geneticheskuyu-mutatsiyu-penisa-i/,,,«Он сам себя отправил бы в газовую камеру». Анализ ДНК выявил у Гитлера редкую генетическую мутацию.,отправил газовую камеру анализ днк выявил гитлера редкую генетическую мутацию,отправил газов камер анализ днк выявил гитлера редк генетическ мутац
«Будет сюрприз». Захарова рассказала о жестком ответе на изъятие российских активов в Европе17:58,https://lenta.ru/news/2025/12/04/budet-syurpriz-zaharova-rasskazala-o-zhestkom-otvete-rossii-na-iz-yatie-aktivov-v-evrope/,,,«Будет сюрприз». Захарова рассказала о жестком ответе на изъятие российских активов в Европе17:58.,сюрприз захарова рассказала жестком ответе изъятие российских активов европе,сюрприз захарова рассказала жестком ответ изъят российских активов европ
«Никто не верит в поражение России». Евросоюз раскололся по вопросу изъятия российских активов. К чему это может привести?16:44,https://lenta.ru/news/2025/12/04/rossiyskie-aktivy/,,,«Никто не верит в поражение России». Евросоюз раскололся по вопросу изъятия российских активов. К чему это может привести?16:44.,никто верит поражение россии евросоюз раскололся вопросу изъятия российских активов чему это привести,никт верит поражен росс евросоюз раскололс вопрос изъят российских активов чем эт привест
"На российский танкер напали у берегов Турции. Как и зачем атакуют суда в Черном море?12:46, 2 декабря 2025",https://lenta.ru/news/2025/12/02/na-rossiyskiy-tanker-napali-u-beregov-turtsii-kak-i-zachem-atakuyut-suda-v-chernom-more/,,,"На российский танкер напали у берегов Турции. Как и зачем атакуют суда в Черном море?12:46, 2 декабря 2025.",российский танкер напали берегов турции атакуют суда черном море декабря,российск танкер напал берегов турц атакуют суда черном мор декабр
"Путин обвинил Украину в пиратстве и пригрозил отрезать ее от Черного моря. Россия будет мощнее бить по портам и судам19:49, 2 декабря 2025",https://lenta.ru/news/2025/12/02/putin-obvinil-ukrainu-v-piratstve-i-prigrozil-otrezat-ee-ot-chernogo-morya-rossiya-budet-moschnee-bit-po-portam-i-sudam/,,,"Путин обвинил Украину в пиратстве и пригрозил отрезать ее от Черного моря. Россия будет мощнее бить по портам и судам19:49, 2 декабря 2025.",путин обвинил украину пиратстве пригрозил отрезать черного моря россия мощнее бить портам судам декабря,путин обвинил украин пиратств пригрозил отрезать черног мор росс мощн бить портам судам декабр
«Довоевались». Путин рассказал о планах Москвы на Донбасс и Новороссию после переговоров с делегацией США11:25,https://lenta.ru/news/2025/12/04/putin-o-peregovorah/,,,«Довоевались». Путин рассказал о планах Москвы на Донбасс и Новороссию после переговоров с делегацией США11:25.,довоевались путин рассказал планах москвы донбасс новороссию переговоров делегацией сша,довоевались путин рассказал планах москв донбасс новоросс переговоров делегац сша
Программа жены Зеленского по вывозу сирот в Турцию оказалась в центре скандала. Две девочки вернулись беременными09:46,https://lenta.ru/news/2025/12/04/programma-zheny-zelenskogo-po-vyvozu-sirot-v-turtsiyu-okazalas-v-tsentre-skandala-dve-devochki-vernulis-beremennymi/,,,Программа жены Зеленского по вывозу сирот в Турцию оказалась в центре скандала. Две девочки вернулись беременными09:46.,программа жены зеленского вывозу сирот турцию оказалась центре скандала две девочки вернулись беременными,программа жен зеленског вывоз сирот турц оказалась центр скандала дв девочк вернулись беременным
"«Зеленскому тогда и нужно было договариваться». Трамп заявил, что условия мира для Украины ухудшились со временем07:39",https://lenta.ru/news/2025/12/04/zelenskomu-togda-i-nuzhno-bylo-dogovarivatsya-tramp-zayavil-chto-usloviya-uregulirovaniya-dlya-ukrainy-uhudshilis-so-vremenem/,,,"«Зеленскому тогда и нужно было договариваться». Трамп заявил, что условия мира для Украины ухудшились со временем07:39.",зеленскому нужно договариваться трамп заявил условия мира украины ухудшились временем,зеленском нужн договариватьс трамп заявил услов мира украин ухудшились временем
Самолет Москва — Пхукет подал сигнал бедствия из-за горящего двигателя. Борт с 412 пассажирами час кружил перед аварийной посадкой04:05,https://lenta.ru/news/2025/12/04/letevshiy-iz-moskvy-na-phuket-samolet-podal-signal-bedstviya-iz-za-vozgoraniya-dvigatelya-chto-izvestno-o-spasenii-425-passazhirov/,,,Самолет Москва — Пхукет подал сигнал бедствия из-за горящего двигателя. Борт с 412 пассажирами час кружил перед аварийной посадкой04:05.,самолет москва пхукет подал сигнал бедствия изза горящего двигателя борт пассажирами час кружил аварийной посадкой,самолет москва пхукет подал сигнал бедств изза горящег двигател борт пассажирам час кружил аварийн посадк
«Я бы снес и сделал заново». Дизайнер раскритиковал скандальную квартиру Долиной. Как выглядит жилье певицы за 112 миллионов?00:01,https://lenta.ru/news/2025/12/04/kvartira/,,,«Я бы снес и сделал заново». Дизайнер раскритиковал скандальную квартиру Долиной. Как выглядит жилье певицы за 112 миллионов?00:01.,снес сделал заново дизайнер раскритиковал скандальную квартиру долиной выглядит жилье певицы миллионов,снес сделал занов дизайнер раскритиковал скандальн квартир долин выглядит жиль певиц миллионов
"«Прогнозы не оправдались». В 2023 году Буданов грозился вернуть Крым и выпить кофе в Ялте. Зачем он давал невыполнимое обещание?19:43, 3 декабря 2025",https://lenta.ru/news/2025/12/03/budanov-poobeschal-vypit-kofe-v-krymu-kto-esche-iz-ukrainskih-politikov-daval-takoe-obeschanie/,,,"«Прогнозы не оправдались». В 2023 году Буданов грозился вернуть Крым и выпить кофе в Ялте. Зачем он давал невыполнимое обещание?19:43, 3 декабря 2025.",прогнозы оправдались году буданов грозился вернуть крым выпить кофе ялте давал невыполнимое обещание декабря,прогноз оправдались год буданов грозилс вернуть крым выпить коф ялт давал невыполним обещан декабр
"Роскомнадзор заблокировал Roblox. Популярную игру считают опасной для детей — там действуют педофилы и мошенники19:13, 3 декабря 2025",https://lenta.ru/news/2025/12/03/v-rossii-zablokirovali-roblox-deystvitelno-li-on-byl-pristanischem-dlya-moshennikov-i-pedofilov/,,,"Роскомнадзор заблокировал Roblox. Популярную игру считают опасной для детей — там действуют педофилы и мошенники19:13, 3 декабря 2025.",роскомнадзор заблокировал roblox популярную игру считают опасной детей действуют педофилы мошенники декабря,роскомнадзор заблокировал roblox популярн игр считают опасн дет действуют педофил мошенник декабр
"В Европе придумали способ забрать активы России для помощи Украине. Как это хотят сделать?18:55, 3 декабря 2025",https://lenta.ru/news/2025/12/03/v-evrope-nashli-sposob-zabrat-aktivy-rossii-bez-soglasiya-vseh-stran-chto-dlya-etogo-nuzhno/,,,"В Европе придумали способ забрать активы России для помощи Украине. Как это хотят сделать?18:55, 3 декабря 2025.",европе придумали способ забрать активы россии помощи украине это хотят сделать декабря,европ придумал способ забрать актив росс помощ украин эт хотят сделать декабр
"На Западе узнали истории украинских новобранцев моложе 24 лет. Каким был их боевой путь и почему никого из них уже нет в рядах ВСУ18:51, 3 декабря 2025",https://lenta.ru/news/2025/12/03/18-24/,,,"На Западе узнали истории украинских новобранцев моложе 24 лет. Каким был их боевой путь и почему никого из них уже нет в рядах ВСУ18:51, 3 декабря 2025.",западе узнали истории украинских новобранцев моложе лет каким боевой путь почему никого рядах всу декабря,запад узнал истор украинских новобранцев молож лет каким боев путь почем никог рядах вс декабр
